camera_id;watch_id;sex;catch;year_of_birth;fished_before;day;year;participant_id
15;15;M;271;1949;n;1;2022;16
45;45;M;306;1949;n;2;2022;16
21;21;M;1072;1949;n;3;2022;16
40;40;M;814;1949;n;4;2022;16
4;4;M;1879;1949;n;5;2022;16
5;5;M;495;1977;n;1;2023;17
22;22;M;3963;1977;n;2;2023;17
39;39;M;4116;1977;y;3;2023;17
43;43;M;3651;1977;y;4;2023;17
45;45;M;362;1977;n;5;2023;17
53;53;M;2060;1977;n;1;2022;17
55;55;M;232;1977;n;2;2022;17
3;3;M;1481;1977;n;3;2022;17
28;28;M;2614;1977;n;4;2022;17
11;11;M;390;1977;n;5;2022;17
1;1;M;575;1953;y;1;2023;18
9;9;M;1856;1953;y;2;2023;18
41;41;M;1922;1953;y;3;2023;18
26;26;M;3343;1953;y;4;2023;18
14;14;M;679;1953;y;1;2022;18
7;7;M;29;1953;y;2;2022;18
26;26;M;2837;1953;y;3;2022;18
7;7;M;1620;1953;y;4;2022;18
5;5;M;754;1953;y;5;2022;18
12;12;M;614;1971;n;1;2023;19
12;12;M;2701;1971;n;2;2023;19
18;18;M;3627;1971;n;3;2023;19
41;41;M;2577;1971;n;4;2023;19
37;37;M;0;1971;n;5;2023;19
19;19;M;5016;1971;n;1;2022;19
29;29;M;183;1971;n;2;2022;19
5;5;M;1995;1971;n;3;2022;19
48;48;M;692;1971;n;4;2022;19
52;52;M;1233;1971;n;5;2022;19
4;4;M;2728;1996;n;1;2022;20
17;17;M;221;1996;n;2;2022;20
11;11;M;112;1996;n;3;2022;20
16;16;M;54;1996;n;4;2022;20
53;53;M;1156;1996;n;5;2022;20
31;31;M;254;1962;y;1;2023;21
27;27;M;1732;1962;n;2;2023;21
1;1;M;2109;1962;n;3;2023;21
30;30;M;541;1962;y;4;2023;21
43;43;M;460;1962;n;5;2023;21
40;40;M;303;1962;n;1;2022;21
5;5;M;272;1962;n;2;2022;21
18;18;M;1116;1962;n;3;2022;21
39;39;M;242;1962;n;4;2022;21
54;54;M;360;1962;n;5;2022;21
48;48;M;178;1988;y;1;2023;22
32;32;M;2710;1988;y;2;2023;22
23;23;M;3228;1988;y;3;2023;22
42;42;M;1425;1988;y;4;2023;22
50;50;M;566;1988;y;5;2023;22
9;9;M;2718;1988;y;1;2022;22
27;27;M;1105;1988;y;2;2022;22
6;6;M;1547;1988;y;3;2022;22
45;45;M;639;1988;n;4;2022;22
43;43;M;782;1988;y;5;2022;22
20;20;M;424;1951;y;1;2023;23
19;19;M;2622;1951;y;2;2023;23
34;34;M;1762;1951;y;3;2023;23
37;37;M;1373;1951;y;4;2023;23
21;21;M;274;1951;y;5;2023;23
51;51;M;1681;1951;y;1;2022;23
24;24;M;505;1951;y;2;2022;23
31;31;M;988;1951;y;3;2022;23
13;13;M;541;1951;y;4;2022;23
51;51;M;2999;1951;y;5;2022;23
40;40;N;78;1954;y;1;2023;24
16;16;N;807;1954;y;2;2023;24
50;50;N;1566;1954;y;3;2023;24
5;5;N;820;1954;y;4;2023;24
6;6;N;85;1954;y;5;2023;24
26;26;N;1042;1954;y;1;2022;24
22;22;N;881;1954;y;2;2022;24
29;29;N;1118;1954;y;3;2022;24
21;21;N;1813;1954;y;4;2022;24
32;32;N;113;1954;y;5;2022;24
2;2;M;133;1966;y;1;2023;25
34;34;M;2831;1966;n;2;2023;25
49;49;M;697;1966;n;3;2023;25
35;35;M;2023;1966;n;4;2023;25
9;9;M;1504;1966;n;5;2023;25
20;20;M;797;1966;n;1;2022;25
39;39;M;737;1966;n;2;2022;25
16;16;M;310;1966;n;3;2022;25
47;47;M;819;1966;n;4;2022;25
7;7;M;444;1966;n;5;2022;25
44;44;N;1373;1966;y;1;2023;26
29;29;N;1243;1966;n;2;2023;26
16;16;N;1395;1966;n;3;2023;26
47;47;N;395;1966;n;4;2023;26
26;26;N;135;1966;n;5;2023;26
13;13;N;622;1966;n;1;2022;26
46;46;N;216;1966;n;2;2022;26
14;14;N;93;1966;n;3;2022;26
54;54;N;1795;1966;n;4;2022;26
45;45;N;861;1966;n;5;2022;26
17;17;M;99;1987;y;1;2023;27
20;20;M;1764;1987;y;2;2023;27
2;2;M;2948;1987;y;3;2023;27
4;4;M;1591;1987;y;4;2023;27
24;24;M;710;1987;y;5;2023;27
32;32;M;2378;1987;n;1;2022;27
47;47;M;258;1987;n;2;2022;27
53;53;M;1965;1987;n;3;2022;27
37;37;M;1823;1987;n;4;2022;27
37;37;M;647;1987;n;5;2022;27
49;49;M;45;1951;y;1;2023;28
50;50;M;1909;1951;n;2;2023;28
54;54;M;776;1951;n;3;2023;28
22;22;M;581;1951;y;4;2023;28
47;47;M;838;1951;n;5;2023;28
6;6;M;439;1951;n;1;2022;28
25;25;M;901;1951;n;2;2022;28
52;52;M;107;1951;n;3;2022;28
6;6;M;512;1951;n;4;2022;28
46;46;M;1678;1951;n;5;2022;28
29;29;M;1102;1958;y;1;2023;29
1;1;M;1344;1958;y;2;2023;29
44;44;M;2027;1958;y;3;2023;29
33;33;M;50;1958;y;5;2023;29
12;12;M;1171;1958;y;1;2022;29
4;4;M;765;1958;y;2;2022;29
28;28;M;551;1958;y;3;2022;29
19;19;M;532;1958;n;4;2022;29
50;50;M;889;1958;y;5;2022;29
18;18;M;449;1995;y;1;2023;30
14;14;M;3479;1995;n;2;2023;30
B40;B40;M;3865;1995;n;3;2023;30
33;33;M;3976;1995;y;4;2023;30
42;42;M;659;1995;y;5;2023;30
24;24;M;824;1995;n;1;2022;30
40;40;M;259;1995;n;2;2022;30
34;34;M;286;1995;n;3;2022;30
46;46;M;1711;1995;n;4;2022;30
28;28;M;255;1995;n;5;2022;30
26;26;M;379;1951;y;1;2023;31
23;23;M;2040;1951;n;2;2023;31
22;22;M;667;1951;n;3;2023;31
36;36;M;805;1951;y;4;2023;31
53;53;M;0;1951;n;5;2023;31
3;3;M;508;1951;n;1;2022;31
15;15;M;417;1951;n;2;2022;31
25;25;M;360;1951;n;3;2022;31
18;18;M;559;1951;n;4;2022;31
1;1;M;652;1951;n;5;2022;31
34;34;M;408;1960;y;1;2023;32
7;7;M;2225;1960;y;2;2023;32
38;38;M;964;1960;y;3;2023;32
55;55;M;2244;1960;y;4;2023;32
3;3;M;0;1960;y;5;2023;32
48;48;M;1658;1960;y;1;2022;32
50;50;M;195;1960;n;2;2022;32
23;23;M;548;1960;y;3;2022;32
42;42;M;206;1960;n;4;2022;32
36;36;M;582;1960;y;5;2022;32
42;42;M;1226;1957;y;1;2023;33
52;52;M;2770;1957;y;2;2023;33
7;7;M;2391;1957;y;3;2023;33
12;12;M;2382;1957;y;4;2023;33
13;13;M;0;1957;y;5;2023;33
23;23;M;635;1957;y;1;2022;33
32;32;M;1788;1957;y;2;2022;33
44;44;M;696;1957;y;3;2022;33
15;15;M;1919;1957;n;4;2022;33
47;47;M;308;1957;y;5;2022;33
35;35;M;201;1947;y;1;2023;34
42;42;M;1641;1947;y;2;2023;34
40;40;M;971;1947;y;3;2023;34
8;8;M;3494;1947;y;4;2023;34
7;7;M;484;1947;y;5;2023;34
29;29;M;943;1947;n;1;2022;34
23;23;M;363;1947;n;2;2022;34
22;22;M;606;1947;n;3;2022;34
30;30;M;989;1947;n;4;2022;34
15;15;M;351;1947;n;5;2022;34
23;23;N;727;1963;y;1;2023;35
21;21;N;1348;1963;y;2;2023;35
3;3;N;1412;1963;y;3;2023;35
39;39;N;1912;1963;y;4;2023;35
30;30;N;72;1963;n;5;2023;35
17;17;N;332;1963;y;1;2022;35
18;18;N;104;1963;y;2;2022;35
32;32;N;1526;1963;y;3;2022;35
51;51;N;232;1963;y;4;2022;35
33;33;N;604;1963;y;5;2022;35
4;4;N;0;1998;y;1;2023;36
49;49;N;2598;1998;y;2;2023;36
42;42;N;746;1998;y;3;2023;36
53;53;N;596;1998;y;4;2023;36
48;48;N;16;1998;y;5;2023;36
55;55;N;1459;1998;y;1;2022;36
54;54;N;192;1998;y;2;2022;36
54;54;N;932;1998;y;3;2022;36
25;25;N;301;1998;y;4;2022;36
6;6;M;171;1974;y;1;2023;37
31;31;M;4028;1974;n;2;2023;37
21;21;M;1900;1974;n;3;2023;37
13;13;M;337;1974;y;4;2023;37
19;19;M;383;1974;n;5;2023;37
22;22;M;853;1974;n;1;2022;37
52;52;M;76;1974;n;2;2022;37
10;10;M;904;1974;n;3;2022;37
2;2;M;297;1974;n;4;2022;37
19;19;M;1317;1974;n;5;2022;37
51;51;M;623;1961;y;1;2023;38
37;37;M;812;1961;y;2;2023;38
17;17;M;3765;1961;y;3;2023;38
11;11;M;1024;1961;y;4;2023;38
8;8;M;233;1961;y;5;2023;38
44;44;M;592;1960;y;1;2022;38
20;20;M;790;1960;y;2;2022;38
35;35;M;640;1960;y;3;2022;38
26;26;M;1498;1960;n;4;2022;38
22;22;M;1025;1957;y;1;2023;39
26;26;M;3233;1957;y;2;2023;39
4;4;M;1243;1957;y;3;2023;39
32;32;M;3245;1957;y;4;2023;39
5;5;M;187;1957;y;5;2023;39
45;45;M;8637;1957;n;1;2022;39
38;38;M;59;1957;n;2;2022;39
30;30;M;841;1957;n;3;2022;39
22;22;M;455;1957;n;4;2022;39
34;34;M;639;1957;n;5;2022;39
5;5;M;232;1964;y;1;2022;40
33;33;M;434;1964;y;2;2022;40
5;5;M;638;1964;y;4;2022;40
52;52;N;1125;1958;y;1;2023;41
51;51;N;372;1958;y;2;2023;41
10;10;N;1761;1958;y;3;2023;41
20;20;N;766;1958;y;4;2023;41
2;2;N;358;1958;y;5;2023;41
7;7;N;393;1958;n;1;2022;41
10;10;N;160;1958;n;2;2022;41
17;17;N;266;1958;n;3;2022;41
55;55;N;1755;1958;n;4;2022;41
31;31;N;665;1958;n;5;2022;41
47;47;M;584;1956;y;1;2023;42
10;10;M;588;1956;y;2;2023;42
B35;15;M;2218;1956;y;3;2023;42
17;17;M;0;1956;y;4;2023;42
46;46;M;318;1956;y;5;2023;42
10;10;M;593;1956;n;1;2022;42
8;8;M;22;1956;n;2;2022;42
7;7;M;594;1956;n;3;2022;42
32;32;M;749;1956;n;4;2022;42
42;42;M;188;1956;n;5;2022;42
11;11;M;266;1943;y;1;2022;43
13;13;M;212;1943;y;2;2022;43
24;24;M;1015;1943;y;3;2022;43
14;14;M;302;1943;y;4;2022;43
22;22;M;658;1943;y;5;2022;43
45;45;N;167;1970;y;1;2023;44
33;33;N;3147;1970;n;2;2023;44
46;46;N;4049;1970;n;3;2023;44
16;16;N;274;1970;y;4;2023;44
35;35;N;176;1970;n;5;2023;44
28;28;N;1660;1970;n;1;2022;44
36;36;N;973;1970;n;2;2022;44
13;13;N;54;1970;n;3;2022;44
52;52;N;501;1970;n;4;2022;44
21;21;N;553;1970;n;5;2022;44
21;21;M;753;1956;n;1;2022;45
41;41;M;200;1956;n;2;2022;45
2;2;M;21;1956;n;3;2022;45
34;34;M;674;1956;n;4;2022;45
20;20;M;1442;1956;n;5;2022;45
16;16;M;664;1957;y;1;2023;46
13;13;M;5985;1957;y;2;2023;46
9;9;M;1229;1957;y;3;2023;46
34;34;M;1181;1957;y;4;2023;46
15;15;M;0;1957;y;5;2023;46
16;16;M;2573;1957;y;1;2022;46
6;6;M;114;1957;y;2;2022;46
38;38;M;1326;1957;y;3;2022;46
24;24;M;972;1957;n;4;2022;46
17;17;M;459;1957;y;5;2022;46
12;12;N;116;1959;y;2;2022;47
19;19;N;276;1959;y;3;2022;47
31;31;M;184;1950;y;2;2022;48
8;8;M;727;1950;n;4;2022;48
44;44;N;77;1958;n;2;2022;49
46;46;M;415;1955;y;1;2023;51
6;6;M;769;1955;n;2;2023;51
28;28;M;1283;1955;y;3;2023;51
23;23;M;328;1955;y;4;2023;51
26;26;M;668;1955;y;2;2022;51
50;50;M;1480;1955;y;3;2022;51
23;23;M;1113;1955;n;4;2022;51
38;38;M;227;1955;y;5;2022;51
9;9;N;373;1946;y;2;2022;52
50;50;N;321;1962;y;1;2023;53
40;40;N;985;1962;y;2;2023;53
30;30;N;1883;1962;y;3;2023;53
25;25;N;130;1962;y;4;2023;53
14;14;N;0;1962;n;5;2023;53
51;51;N;284;1962;y;3;2022;53
13;13;N;682;1962;n;5;2022;53
15;15;N;895;1958;y;1;2023;54
17;17;N;939;1958;n;2;2023;54
31;31;N;2853;1958;y;3;2023;54
38;38;N;3664;1958;n;4;2023;54
52;52;N;0;1958;n;5;2023;54
12;12;N;1108;1958;n;4;2022;54
27;27;N;675;1958;y;5;2022;54
17;17;N;0;1960;n;5;2023;55
38;38;N;544;1960;n;4;2022;55
25;25;N;392;1960;y;5;2022;55
29;29;M;777;1950;y;4;2022;56
13;13;M;132;1950;y;1;2023;56
3;3;M;1813;1950;y;2;2023;56
8;8;M;949;1950;y;3;2023;56
52;52;M;962;1950;y;4;2023;56
55;55;M;1794;1955;y;1;2023;57
40;40;M;2059;1955;y;4;2023;57
10;10;M;717;1955;y;5;2022;57
11;11;M;904;1952;n;5;2023;59
40;40;M;216;1952;y;5;2022;59
16;16;M;313;1960;y;5;2022;60
23;23;M;597;1952;n;5;2022;61
26;26;M;670;1995;n;5;2022;62
14;14;M;0;1995;y;1;2023;62
30;30;M;1664;1995;y;2;2023;62
5;5;M;2723;1995;y;3;2023;62
21;21;M;887;1995;y;4;2023;62
38;38;M;498;1995;y;5;2023;62
36;36;N;1204;1951;y;2;2023;63
41;41;N;493;1953;y;1;2023;67
2;2;N;1508;1953;y;2;2023;67
27;27;N;3465;1953;y;4;2023;67
27;27;N;769;1946;y;1;2023;68
48;48;N;1308;1946;y;2;2023;68
35;35;N;1339;1946;y;3;2023;68
44;44;N;897;1946;y;4;2023;68
10;10;N;22;1946;y;5;2023;68
33;33;M;302;1946;y;1;2023;69
54;54;M;1936;1946;y;2;2023;69
26;26;M;1823;1946;y;3;2023;69
9;9;M;364;1946;y;4;2023;69
29;29;M;500;1946;y;5;2023;69
61;61;M;850;1960;y;1;2023;70
18;18;M;3933;1960;n;2;2023;70
45;45;M;1972;1960;y;3;2023;70
45;45;M;2454;1960;y;4;2023;70
18;18;M;101;1960;y;5;2023;70
10;10;M;111;1950;y;1;2023;78
28;28;M;3631;1950;y;2;2023;78
19;19;M;2393;1950;y;3;2023;78
6;6;M;637;1950;y;4;2023;78
16;16;M;0;1950;y;5;2023;78
52;52;N;1283;1953;n;3;2023;79
32;32;M;748;1944;y;1;2023;83
8;8;M;584;1944;y;2;2023;83
12;12;M;1492;1944;y;3;2023;83
3;3;M;1745;1944;y;4;2023;83
55;55;M;669;1944;y;5;2023;83
7;7;N;311;1954;y;1;2023;85
11;11;N;922;1954;n;2;2023;85
24;24;N;1342;1954;n;3;2023;85
31;31;N;0;1954;y;5;2023;85
53;53;M;353;1957;y;1;2023;86
15;15;M;2233;1957;y;2;2023;86
48;48;M;2773;1957;y;3;2023;86
15;15;M;118;1957;NA;4;2023;86
61;61;M;107;1957;n;5;2023;86
37;37;N;32;1956;y;1;2023;87
